"ISSN","Título","Área de Avaliação","Estrato"
"1096-3669","WASTE MANAGEMENT & RESEARCH (ONLINE)","MEDICINA II                                       ","A3"
"0956-053X","WASTE MANAGEMENT (ELMSFORD)","MEDICINA II                                       ","A1"
"1573-2932","WATER, AIR AND SOIL POLLUTION (DORDRECHT. ONLINE)","MEDICINA II                                       ","A3"
"0049-6979","WATER, AIR AND SOIL POLLUTION (PRINT)","MEDICINA II                                       ","A3"
"1751-231X","WATER PRACTICE AND TECHNOLOGY","MEDICINA II                                       ","B2"
"0043-1354","WATER RESEARCH (OXFORD)","MEDICINA II                                       ","A1"
"1745-5030","WAVES IN RANDOM AND COMPLEX MEDIA (PRINT)","MEDICINA II                                       ","A1"
"2398-502X","WELLCOME OPEN RESEARCH","MEDICINA II                                       ","B1"
"0043-5325","WIENER KLINISCHE WOCHENSCHRIFT","MEDICINA II                                       ","A4"
"1080-6032","WILDERNESS & ENVIRONMENTAL MEDICINE (PRINT)","MEDICINA II                                       ","A3"
"0363-0242","WOMEN & HEALTH","MEDICINA II                                       ","A2"
"1871-5192","WOMEN AND BIRTH (PRINT)","MEDICINA II                                       ","A3"
"0884-7355","WOMEN’S HEALTH","MEDICINA II                                       ","C"
"1049-3867","WOMEN'S HEALTH ISSUES","MEDICINA II                                       ","A1"
"2639-2526","WOMEN'S HEALTH SCIENCE JOURNAL","MEDICINA II                                       ","B4"
"1051-9815","WORK (READING, MA)","MEDICINA II                                       ","A4"
"2632-2900","WORLD ACADEMY OF SCIENCES JOURNAL","MEDICINA II                                       ","C"
"2581-9615","WORLD JOURNAL OF ADVANCED RESEARCH AND REVIEWS","MEDICINA II                                       ","C"
"1949-8462","WORLD JOURNAL OF CARDIOLOGY","MEDICINA II                                       ","C"
"2218-4333","WORLD JOURNAL OF CLINICAL ONCOLOGY","MEDICINA II                                       ","C"
"1749-7922","WORLD JOURNAL OF EMERGENCY SURGERY","MEDICINA II                                       ","A1"
"2220-315X","WORLD JOURNAL OF EXPERIMENTAL MEDICINE","MEDICINA II                                       ","C"
"1007-9327","WORLD JOURNAL OF GASTROENTEROLOGY","MEDICINA II                                       ","A2"
"1948-5190","WORLD JOURNAL OF GASTROINTESTINAL ENDOSCOPY","MEDICINA II                                       ","C"
"1948-5204","WORLD JOURNAL OF GASTROINTESTINAL ONCOLOGY","MEDICINA II                                       ","B1"
"1948-5182","WORLD JOURNAL OF HEPATOLOGY","MEDICINA II                                       ","A3"
"0959-3993","WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY","MEDICINA II                                       ","A3"
"2162-2000","WORLD JOURNAL OF NEUROSCIENCE","MEDICINA II                                       ","B3"
"1708-8569","WORLD JOURNAL OF PEDIATRICS (PRINT)","MEDICINA II                                       ","A4"
"1949-8470","WORLD JOURNAL OF RADIOLOGY","MEDICINA II                                       ","C"
"1948-0210","WORLD JOURNAL OF STEM CELLS","MEDICINA II                                       ","A4"
"0724-4983","WORLD JOURNAL OF UROLOGY (PRINT)","MEDICINA II                                       ","A2"
"1878-8750","WORLD NEUROSURGERY","MEDICINA II                                       ","A3"
"1723-8617","WORLD PSYCHIATRY","MEDICINA II                                       ","A1"
"2411-6661","WORLD SCIENTIFIC RESEARCH,","MEDICINA II                                       ","B2"
"1067-1927","WOUND REPAIR AND REGENERATION","MEDICINA II                                       ","A1"
"1044-7946","WOUNDS (KING OF PRUSSIA, PA.)","MEDICINA II                                       ","A2"
"1561-882X","WULFENIA","MEDICINA II                                       ","C"
"0049-8246","X-RAY SPECTROMETRY","MEDICINA II                                       ","B2"
"0749-503X","YEAST (CHICHESTER, ENGLAND. PRINT)","MEDICINA II                                       ","A3"
"1545-8547","ZEBRAFISH (LARCHMONT, NY)","MEDICINA II                                       ","A2"
"0939-3889","ZEITSCHRIFT FUR MEDIZINISCHE PHYSIK","MEDICINA II                                       ","A2"
"1865-7125","ZEITSCHRIFT FÜR NATURFORSCHUNG C","MEDICINA II                                       ","B1"
"2176-1744","ZETETIKÉ (ON LINE)","MEDICINA II                                       ","A2"
"1313-2970","ZOOKEYS (ONLINE)","MEDICINA II                                       ","A4"
"1863-1959","ZOONOSES AND PUBLIC HEALTH (PRINT)","MEDICINA II                                       ","A1"
"1175-5326","ZOOTAXA (AUCKLAND. PRINT)","MEDICINA II                                       ","A4"
"1175-5334","ZOOTAXA (ONLINE)","MEDICINA II                                       ","A4"
"0001-3072","ABACUS (SYDNEY. PRINT)","MEDICINA III                                      ","A2"
"2318-8219","ABC: IMAGEM CARDIOVASCULAR","MEDICINA III                                      ","C"
"0102-6720","ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA","MEDICINA III                                      ","A4"
"2357-8114","ABCS HEALTH SCIENCES","MEDICINA III                                      ","B1"
"2366-004X","ABDOMINAL RADIOLOGY","MEDICINA III                                      ","A4"
"2366-0058","ABDOMINAL RADIOLOGY (ONLINE)","MEDICINA III                                      ","A4"
"1076-6332","ACADEMIC RADIOLOGY","MEDICINA III                                      ","A3"
"1948-5875","ACS MED CHEM LETT","MEDICINA III                                      ","A2"
"2470-1343","ACS OMEGA","MEDICINA III                                      ","A4"
"0001-5172","ACTA ANAESTHESIOLOGICA SCANDINAVICA","MEDICINA III                                      ","A2"
"2236-0867","ACTA BIOMEDICA BRASILIENSIA","MEDICINA III                                      ","B4"
"0102-8650","ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)","MEDICINA III                                      ","A4"
"1678-2674","ACTA CIRÚRGICA BRASILEIRA (ONLINE)","MEDICINA III                                      ","A4"
"1938-2650","ACTA CYTOLOGICA","MEDICINA III                                      ","B1"
"0001-5547","ACTA CYTOLOGICA","MEDICINA III                                      ","B1"
"0940-5429","ACTA DIABETOLOGICA (PRINT)","MEDICINA III                                      ","A2"
"2317-0190","ACTA FISIÁTRICA","MEDICINA III                                      ","B2"
"0065-1281","ACTA HISTOCHEMICA (PRINT)","MEDICINA III                                      ","A4"
"1646-0758","ACTA MÉDICA PORTUGUESA","MEDICINA III                                      ","B1"
"0001-6268","ACTA NEUROCHIRURGICA","MEDICINA III                                      ","A4"
"0300-9009","ACTA NEUROLOGICA BELGICA","MEDICINA III                                      ","B1"
"0001-6322","ACTA NEUROPATHOLOGICA","MEDICINA III                                      ","A1"
"2051-5960","ACTA NEUROPATHOLOGICA COMMUNICATIONS","MEDICINA III                                      ","A1"
"0001-6349","ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA","MEDICINA III                                      ","A2"
"1755-375X","ACTA OPHTHALMOLOGICA","MEDICINA III                                      ","A2"
"1745-3674","ACTA ORTHOPAEDICA (PRINT)","MEDICINA III                                      ","A1"
"1809-4406","ACTA ORTOPÉDICA BRASILEIRA","MEDICINA III                                      ","B1"
"1413-7852","ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO)","MEDICINA III                                      ","B1"
"2176-7521","ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO. ED. PORTUGUÊS)","MEDICINA III                                      ","B1"
"0001-6489","ACTA OTO-LARYNGOLOGICA","MEDICINA III                                      ","A4"
"0392-100X","ACTA OTORHINOLARYNGOLOGICA ITALICA","MEDICINA III                                      ","A4"
"1230-2821","ACTA PARASITOLOGICA","MEDICINA III                                      ","B2"
"1982-0194","ACTA PAUL DE ENFERM","MEDICINA III                                      ","A4"
"0103-2100","ACTA PAULISTA DE ENFERMAGEM","MEDICINA III                                      ","A4"
"0284-1851","ACTA RADIOLOGICA (1987)","MEDICINA III                                      ","B1"
"0303-464X","ACTA REUMATOLÓGICA PORTUGUESA","MEDICINA III                                      ","B3"
"2595-7651","ACTA SCIENTIAE ANATOMICA","MEDICINA III                                      ","C"
"1679-9216","ACTA SCIENTIAE VETERINARIAE (ONLINE)","MEDICINA III                                      ","B2"
"1807-8648","ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE)","MEDICINA III                                      ","B2"
"2582-4473","ACTA SCIENTIFIC CANCER BIOLOGY","MEDICINA III                                      ","C"
"2582-1091","ACTA SCIENTIFIC GASTROINTESTINAL DISORDERS","MEDICINA III                                      ","C"
"2582-3191","ACTA SCIENTIFIC OPHTHALMOLOGY","MEDICINA III                                      ","B3"
"0001-706X","ACTA TROPICA","MEDICINA III                                      ","A2"
"0210-4806","ACTAS UROLÓGICAS ESPAÑOLAS","MEDICINA III                                      ","B3"
"0964-5284","ACUPUNCTURE IN MEDICINE","MEDICINA III                                      ","A3"
"2177-5281","ADOLESCÊNCIA & SAÚDE","MEDICINA III                                      ","B2"
"2192-2659","ADVANCED HEALTHCARE MATERIALS","MEDICINA III                                      ","A1"
"2472-6400","ADVANCED RESEARCH IN GASTROENTEROLOGY & HEPATOLOGY","MEDICINA III                                      ","C"
"2156-8456","ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO)","MEDICINA III                                      ","B3"
"0065-2423","ADVANCES IN CLINICAL CHEMISTRY","MEDICINA III                                      ","A2"
"2043-6262","ADVANCES IN NATURAL SCIENCES: NANOSCIENCE AND NANOTECHNOLOGY","MEDICINA III                                      ","A2"
"2156-5376","ADVANCES IN NUTRITION","MEDICINA III                                      ","A1"
"1043-4046","ADVANCES IN PHYSIOLOGY EDUCATION","MEDICINA III                                      ","A4"
"1522-1229","ADVANCES IN PHYSIOLOGY EDUCATION (ONLINE)","MEDICINA III                                      ","A4"
"2572-6684","ADVANCES IN PLASTIC & RECONSTRUCTIVE SURGERY","MEDICINA III                                      ","B4"
"2523-3106","ADVANCES IN RHEUMATOLOGY","MEDICINA III                                      ","B2"
"1527-7941","ADVANCES IN SKIN & WOUND CARE","MEDICINA III                                      ","A3"
"0741-238X","ADVANCES IN THERAPY","MEDICINA III                                      ","A2"
"1687-6369","ADVANCES IN UROLOGY (PRINT)","MEDICINA III                                      ","A4"
"1687-8639","ADVANCES IN VIROLOGY","MEDICINA III                                      ","A3"
"2162-1934","ADVANCES IN WOUND CARE","MEDICINA III                                      ","A1"
"2576-4500","AERONAUTICS AND AEROSPACE OPEN ACCESS JOURNAL","MEDICINA III                                      ","C"
"0364-216X","AESTHETIC PLASTIC SURGERY","MEDICINA III                                      ","A4"
"1432-5241","AESTHETIC PLASTIC SURGERY (ONLINE)","MEDICINA III                                      ","A4"
"1090-820X","AESTHETIC SURGERY JOURNAL","MEDICINA III                                      ","A1"
"1720-8319","AGING CLINICAL AND EXPERIMENTAL RESEARCH","MEDICINA III                                      ","A3"
"1368-5538","AGING MALE","MEDICINA III                                      ","A4"
"0001-1541","AICHE JOURNAL","MEDICINA III                                      ","A1"
"1360-0451","AIDS CARE","MEDICINA III                                      ","A2"
"0954-0121","AIDS CARE (PRINT)","MEDICINA III                                      ","A2"
"1873-9318","AIR QUALITY, ATMOSPHERE AND HEALTH","MEDICINA III                                      ","A2"
"1522-1555","AJP: ENDOCRINOLOGY AND METABOLISM (ONLINE)","MEDICINA III                                      ","A1"
"0741-8329","ALCOHOL (FAYETTEVILLE, N.Y.)","MEDICINA III                                      ","A2"
"1530-0277","ALCOHOLISM: CLINICAL AND EXPERIMENTAL RESEARCH","MEDICINA III                                      ","A2"
"1365-2036","ALIMENTARY PHARMACOLOGY THERAPEUTICS","MEDICINA III                                      ","A1"
"1868-596X","ALTERNATIVES TO ANIMAL EXPERIMENTATION","MEDICINA III                                      ","A1"
"2352-8729","ALZHEIMER'S & DEMENTIA: DIAGNOSIS, ASSESSMENT & DISEASE MONITORING","MEDICINA III                                      ","A2"
"2642-1747","AMERICAN JOURNAL OF BIOMEDICAL SCIENCE & RESEARCH","MEDICINA III                                      ","C"
"1175-0561","AMERICAN JOURNAL OF CLINICAL DERMATOLOGY","MEDICINA III                                      ","A1"
"0277-3732","AMERICAN JOURNAL OF CLINICAL ONCOLOGY","MEDICINA III                                      ","B1"
"1062-3264","AMERICAN JOURNAL OF CRITICAL CARE","MEDICINA III                                      ","A2"
"1049-9091","AMERICAN JOURNAL OF HOSPICE AND PALLIATIVE MEDICINE","MEDICINA III                                      ","A4"
"1553-619X","AMERICAN JOURNAL OF IMMUNOLOGY","MEDICINA III                                      ","C"
"0196-6553","AMERICAN JOURNAL OF INFECTION CONTROL","MEDICINA III                                      ","A3"
"1552-4833","AMERICAN JOURNAL OF MEDICAL GENETICS - PART A","MEDICINA III                                      ","B1"
"1552-4825","AMERICAN JOURNAL OF MEDICAL GENETICS. PART A","MEDICINA III                                      ","B1"
"1552-4868","AMERICAN JOURNAL OF MEDICAL GENETICS. PART C, SEMINARS IN MEDICAL GENETICS","MEDICINA III                                      ","A1"
"1062-8606","AMERICAN JOURNAL OF MEDICAL QUALITY (PRINT)","MEDICINA III                                      ","B1"
"1557-9883","AMERICAN JOURNAL OF MEN'S HEALTH","MEDICINA III                                      ","A3"
"0250-8095","AMERICAN JOURNAL OF NEPHROLOGY","MEDICINA III                                      ","A2"
"1097-6868","AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY (ONLINE)","MEDICINA III                                      ","A1"
"0002-9378","AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY (PRINT)","MEDICINA III                                      ","A1"
"0002-9394","AMERICAN JOURNAL OF OPHTHALMOLOGY","MEDICINA III                                      ","A1"
"2451-9936","AMERICAN JOURNAL OF OPHTHALMOLOGY CASE REPORTS","MEDICINA III                                      ","B2"
"0889-5406","AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS","MEDICINA III                                      ","A1"
"0196-0709","AMERICAN JOURNAL OF OTOLARYNGOLOGY (PRINT)","MEDICINA III                                      ","B1"
"0735-1631","AMERICAN JOURNAL OF PERINATOLOGY (PRINT)","MEDICINA III                                      ","A3"
"2157-6998","AMERICAN JOURNAL OF PERINATOLOGY REPORTS","MEDICINA III                                      ","B2"
"0894-9115","AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION","MEDICINA III                                      ","A2"
"0363-6143","AMERICAN JOURNAL OF PHYSIOLOGY. CELL PHYSIOLOGY","MEDICINA III                                      ","A1"
"0193-1857","AMERICAN JOURNAL OF PHYSIOLOGY: GASTROINTESTINAL AND LIVER PHYSIOLOGY","MEDICINA III                                      ","A1"
"0363-6135","AMERICAN JOURNAL OF PHYSIOLOGY. HEART AND CIRCULATORY PHYSIOLOGY","MEDICINA III                                      ","A1"
"1522-1490","AMERICAN JOURNAL OF PHYSIOLOGY. REGULATORY, INTEGRATIVE AND COMPARATIVE PHYSIOLOGY","MEDICINA III                                      ","A2"
"1931-857X","AMERICAN JOURNAL OF PHYSIOLOGY. RENAL PHYSIOLOGY","MEDICINA III                                      ","A3"
"1098-2345","AMERICAN JOURNAL OF PRIMATOLOGY","MEDICINA III                                      ","A1"
"0275-2565","AMERICAN JOURNAL OF PRIMATOLOGY (PRINT)","MEDICINA III                                      ","A1"
"1046-7408","AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY (PRINT)","MEDICINA III                                      ","A3"
"1073-449X","AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","MEDICINA III                                      ","A1"
"1044-1549","AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","MEDICINA III                                      ","A1"
"1945-8924","AMERICAN JOURNAL OF RHINOLOGY & ALLERGY (PRINT)","MEDICINA III                                      ","A1"
"1546-3141","AMERICAN JOURNAL OF ROENTGENOLOGY","MEDICINA III                                      ","A2"
"0361-803X","AMERICAN JOURNAL OF ROENTGENOLOGY (1976. PRINT)","MEDICINA III                                      ","A2"
"0363-5465","AMERICAN JOURNAL OF SPORTS MEDICINE","MEDICINA III                                      ","A1"
"2333-4606","AMERICAN JOURNAL OF SPORTS SCIENCE AND MEDICINE","MEDICINA III                                      ","C"
"1600-6135","AMERICAN JOURNAL OF TRANSPLANTATION (PRINT)","MEDICINA III                                      ","A1"
"1438-2199","AMINO ACIDS (WIEN. INTERNET)","MEDICINA III                                      ","A2"
"1075-9964","ANAEROBE (LONDON. PRINT)","MEDICINA III                                      ","A2"
"2352-5568","ANAESTHESIA, CRITICAL CARE & PAIN MEDICINE","MEDICINA III                                      ","A2"
"0003-2409","ANAESTHESIA (LONDON. PRINT)","MEDICINA III                                      ","A1"
"1642-5758","ANAESTHESIOLOGY INTENSIVE THERAPY","MEDICINA III                                      ","A4"
"0365-0596","ANAIS BRASILEIROS DE DERMATOLOGIA (IMPRESSO)","MEDICINA III                                      ","B2"
"1806-4841","ANAIS BRASILEIROS DE DERMATOLOGIA (ONLINE)","MEDICINA III                                      ","B2"
"0001-3765","ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)","MEDICINA III                                      ","A2"
"1678-2690","ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)","MEDICINA III                                      ","A2"
"0104-4885","ANAIS DA ACADEMIA NACIONAL DE MEDICINA","MEDICINA III                                      ","C"
"2674-8487","ANAIS DA FACULDADE DE MEDICINA DE OLINDA","MEDICINA III                                      ","B4"
"0003-2700","ANALYTICAL CHEMISTRY (WASHINGTON)","MEDICINA III                                      ","A1"
"0340-2096","ANATOMIA, HISTOLOGIA, EMBRYOLOGIA","MEDICINA III                                      ","A4"
"1935-9772","ANATOMICAL SCIENCES EDUCATION","MEDICINA III                                      ","A1"
"1439-0272","ANDROLOGIA","MEDICINA III                                      ","B2"
"0303-4569","ANDROLOGIA (BERLIN)","MEDICINA III                                      ","B2"
"2047-2919","ANDROLOGY-US","MEDICINA III                                      ","A1"
"0003-2999","ANESTHESIA AND ANALGESIA","MEDICINA III                                      ","A1"
"0003-3022","ANESTHESIOLOGY (PHILADELPHIA)","MEDICINA III                                      ","A1"
"1049-5398","ANIMAL BIOTECHNOLOGY","MEDICINA III                                      ","A4"
"1806-9614","ANIMAL REPRODUCTION","MEDICINA III                                      ","A2"
"0378-4320","ANIMAL REPRODUCTION SCIENCE (PRINT)","MEDICINA III                                      ","A2"
"2304-1021","ANNALS OF CARDIOTHORACIC SURGERY","MEDICINA III                                      ","A2"
"2328-9503","ANNALS OF CLINICAL AND TRANSLATIONAL NEUROLOGY (ONLINE)","MEDICINA III                                      ","A2"
"2688-1241","ANNALS OF CLINICAL CASE STUDIES","MEDICINA III                                      ","C"
"2475-9430","ANNALS OF CLINICAL CYTOLOGY AND PATHOLOGY","MEDICINA III                                      ","C"
"2475-9465","ANNALS OF COMMUNITY MEDICINE AND PRACTICE","MEDICINA III                                      ","B3"
"1013-9087","ANNALS OF DERMATOLOGY","MEDICINA III                                      ","B1"
"2616-2784","ANNALS OF ESOPHAGUS","MEDICINA III                                      ","B4"
"1108-7471","ANNALS OF GASTROENTEROLOGY","MEDICINA III                                      ","A4"
"2214-9996","ANNALS OF GLOBAL HEALTH","MEDICINA III                                      ","A3"
"1665-2681","ANNALS OF HEPATOLOGY","MEDICINA III                                      ","B1"
"0003-4800","ANNALS OF HUMAN GENETICS (PRINT)","MEDICINA III                                      ","B2"
"2110-5820","ANNALS OF INTENSIVE CARE","MEDICINA III                                      ","A1"
"2518-6973","ANNALS OF LAPAROSCOPIC AND ENDOSCOPIC SURGERY","MEDICINA III                                      ","B3"
"2141-9248","ANNALS OF MEDICAL AND HEALTH SCIENCES RESEARCH","MEDICINA III                                      ","B3"
"2049-0801","ANNALS OF MEDICINE AND SURGERY","MEDICINA III                                      ","A4"
"0785-3890","ANNALS OF MEDICINE (HELSINKI)","MEDICINA III                                      ","A1"
"2379-9501","ANNALS OF NURSING AND PRACTICE","MEDICINA III                                      ","B3"
"0250-6807","ANNALS OF NUTRITION & METABOLISM","MEDICINA III                                      ","A3"
"0974-2069","ANNALS OF PEDIATRIC CARDIOLOGY","MEDICINA III                                      ","B1"
"0148-7043","ANNALS OF PLASTIC SURGERY (PRINT)","MEDICINA III                                      ","A4"
"1468-2060","ANNALS OF RHEUMATIC DISEASES","MEDICINA III                                      ","A1"
"1068-9265","ANNALS OF SURGICAL ONCOLOGY","MEDICINA III                                      ","A1"
"2325-6621","ANNALS OF THE AMERICAN THORACIC SOCIETY","MEDICINA III                                      ","A2"
"0077-8923","ANNALS OF THE NEW YORK ACADEMY OF SCIENCES","MEDICINA III                                      ","A1"
"0003-4967","ANNALS OF THE RHEUMATIC DISEASES","MEDICINA III                                      ","A1"
"0035-8843","ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND","MEDICINA III                                      ","B1"
"2305-5847","ANNALS OF TRANSLATIONAL MEDICINE","MEDICINA III                                      ","A4"
"2305-5839","ANNALS OF TRANSLATIONAL MEDICINE","MEDICINA III                                      ","A4"
"1425-9524","ANNALS OF TRANSPLANTATION","MEDICINA III                                      ","B2"
"2329-0358","ANNALS OF TRANSPLANTATION","MEDICINA III                                      ","B2"
"0890-5096","ANNALS OF VASCULAR SURGERY (PRINT)","MEDICINA III                                      ","B2"
"0250-7005","ANTICANCER RESEARCH","MEDICINA III                                      ","B1"
"0066-4804","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (PRINT)","MEDICINA III                                      ","A1"
"2047-2994","ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL","MEDICINA III                                      ","A2"
"1359-6535","ANTIVIRAL THERAPY (LONDON)","MEDICINA III                                      ","B1"
"2525-4669","ANUÁRIO PESQUISA E EXTENSÃO UNOESC JOAÇABA","MEDICINA III                                      ","B4"
"1445-1433","ANZ JOURNAL OF SURGERY (PRINT)","MEDICINA III                                      ","B1"
"0903-4641","APMIS. ACTA PATHOLOGICA, MICROBIOLOGICA ET IMMUNOLOGICA SCANDINAVICA.","MEDICINA III                                      ","A2"
"1360-8185","APOPTOSIS (LONDON)","MEDICINA III                                      ","A1"
"0003-682X","APPLIED ACOUSTICS","MEDICINA III                                      ","A2"
"1869-0327","APPLIED CLINICAL INFORMATICS","MEDICINA III                                      ","A4"
"0003-6870","APPLIED ERGONOMICS","MEDICINA III                                      ","A1"
"1715-5320","APPLIED PHYSIOLOGY, NUTRITION AND METABOLISM (ONLINE)","MEDICINA III                                      ","A3"
"1090-0586","APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK","MEDICINA III                                      ","A4"
"1886-6581","APUNTS. MEDICINA DE L'ESPORT (ONLINE)","MEDICINA III                                      ","B1"
"2455-9806","ARC JOURNAL OF CLINICAL CASE REPORTS","MEDICINA III                                      ","B4"
"2146-8133","ARCHIVES OF CLINICAL AND EXPERIMENTAL SURGERY (ACES)","MEDICINA III                                      ","C"
"1806-938X","ARCHIVES OF CLINICAL PSYCHIATRY (SÃO PAULO)","MEDICINA III                                      ","B2"
"0340-3696","ARCHIVES OF DERMATOLOGICAL RESEARCH (PRINT)","MEDICINA III                                      ","A2"
"2359-3997","ARCHIVES OF ENDOCRINOLOGY AND METABOLISM","MEDICINA III                                      ","B2"
"2359-4292","ARCHIVES OF ENDOCRINOLOGY AND METABOLISM","MEDICINA III                                      ","B2"
"1432-0711","ARCHIVES OF GYNECOLOGY AND OBSTETRICS (ON LINE)","MEDICINA III                                      ","A2"
"0932-0067","ARCHIVES OF GYNECOLOGY AND OBSTETRICS (PRINT)","MEDICINA III                                      ","A2"
"2595-2544","ARCHIVES OF HEAD AND NECK SURGERY","MEDICINA III                                      ","B4"
"2317-3009","ARCHIVES OF HEALTH INVESTIGATION","MEDICINA III                                      ","B3"
"0188-4409","ARCHIVES OF MEDICAL RESEARCH","MEDICINA III                                      ","A4"
"0003-9969","ARCHIVES OF ORAL BIOLOGY","MEDICINA III                                      ","A1"
"0936-8051","ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY","MEDICINA III                                      ","A2"
"1862-3514","ARCHIVES OF OSTEOPOROSIS (ONLINE)","MEDICINA III                                      ","A3"
"0003-9985","ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE (1976)","MEDICINA III                                      ","A1"
"2675-3626","ARCHIVES OF PEDIATRIC NEUROSURGERY","MEDICINA III                                      ","B4"
"2639-1805","ARCHIVES OF PHYSICAL HEALTH AND SPORTS MEDICINE","MEDICINA III                                      ","B4"
"0003-9993","ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION (PRINT)","MEDICINA III                                      ","A1"
"2234-6163","ARCHIVES OF PLASTIC SURGERY","MEDICINA III                                      ","A4"
"2455-5495","ARCHIVES OF RENAL DISEASES AND MANAGEMENT","MEDICINA III                                      ","B3"
"0004-0002","ARCHIVES OF SEXUAL BEHAVIOR","MEDICINA III                                      ","A1"
"0340-5761","ARCHIVES OF TOXICOLOGY","MEDICINA III                                      ","A1"
"1517-784X","ARCHIVES OF VETERINARY SCIENCE","MEDICINA III                                      ","B2"
"0304-8608","ARCHIVES OF VIROLOGY","MEDICINA III                                      ","B1"
"1698-9465","ARCHIVOS DE MEDICINA","MEDICINA III                                      ","B3"
"0004-0614","ARCHIVOS ESPAÑOLES DE UROLOGÍA (ED. IMPRESA)","MEDICINA III                                      ","B3"
"0102-0935","ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA","MEDICINA III                                      ","B1"
"1678-4170","ARQUIVOS BRASILEIROS DE CARDIOLOGIA","MEDICINA III                                      ","B2"
"0066-782X","ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO)","MEDICINA III                                      ","B2"
"0103-5355","ARQUIVOS BRASILEIROS DE NEUROCIRURGIA","MEDICINA III                                      ","C"
"0004-2749","ARQUIVOS BRASILEIROS DE OFTALMOLOGIA (IMPRESSO)","MEDICINA III                                      ","A4"
"1806-4280","ARQUIVOS CATARINENSES DE MEDICINA (ONLINE)","MEDICINA III                                      ","B2"
"2318-3691","ARQUIVOS DE CIÊNCIAS DA SAÚDE","MEDICINA III                                      ","B1"
"0004-2803","ARQUIVOS DE GASTROENTEROLOGIA (IMPRESSO)","MEDICINA III                                      ","B2"
"1678-4219","ARQUIVOS DE GASTROENTEROLOGIA (ONLINE)","MEDICINA III                                      ","B2"
"1678-4227","ARQUIVOS DE NEURO-PSIQUIATRIA","MEDICINA III                                      ","B2"
"0004-282X","ARQUIVOS DE NEURO-PSIQUIATRIA (IMPRESSO)","MEDICINA III                                      ","B2"
"0103-5339","ARQUIVOS DO INSTITUTO PENIDO BURNIER","MEDICINA III                                      ","B4"
"0101-6067","ARQUIVOS MÉDICOS DOS HOSPITAIS E DA FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO (IMPRESSO)","MEDICINA III                                      ","B4"
"1809-3019","ARQUIVOS MÉDICOS DOS HOSPITAIS E DA FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO (ONLINE)","MEDICINA III                                      ","B4"
"2326-5205","ARTHRITIS & RHEUMATOLOGY","MEDICINA III                                      ","A1"
"0004-3591","ARTHRITIS AND RHEUMATISM","MEDICINA III                                      ","B3"
"0893-7524","ARTHRITIS CARE & RESEARCH","MEDICINA III                                      ","A1"
"2151-4658","ARTHRITIS CARE & RESEARCH (ONLINE)","MEDICINA III                                      ","A1"
"2151-464X","ARTHRITIS CARE & RESEARCH (PRINT)","MEDICINA III                                      ","A1"
"1478-6354","ARTHRITIS RESEARCH & THERAPY (PRINT)","MEDICINA III                                      ","A2"
"0749-8063","ARTHROSCOPY (PRINT)","MEDICINA III                                      ","A1"
"2212-6287","ARTHROSCOPY TECHNIQUES","MEDICINA III                                      ","B1"
"2169-141X","ARTIFICIAL CELLS, NANOMEDICINE, AND BIOTECHNOLOGY","MEDICINA III                                      ","A2"
"0933-3657","ARTIFICIAL INTELLIGENCE IN MEDICINE (PRINT)","MEDICINA III                                      ","A1"
"0160-564X","ARTIFICIAL ORGANS","MEDICINA III                                      ","A4"
"1008-682X","ASIAN JOURNAL OF ANDROLOGY","MEDICINA III                                      ","A1"
"1793-5482","ASIAN JOURNAL OF NEUROSURGERY","MEDICINA III                                      ","C"
