"ISSN","Título","Área de Avaliação","Estrato"
"2177-5281","ADOLESCÊNCIA & SAÚDE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1679-9941","ADOLESCÊNCIA & SAÚDE (UERJ)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0342-7633","ADULT EDUCATION AND DEVELOPMENT","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2251-7308","ADVANCED PHARMACEUTICAL BULLETIN","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"0098-9258","ADVANCES IN CONSUMER RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"2424-922X","ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1523-4223","ADVANCES IN DEVELOPING HUMAN RESOURCES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2287-6316","ADVANCES IN ENERGY RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0394-6169","ADVANCES IN HORTICULTURAL SCIENCE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1687-5893","ADVANCES IN HUMAN-COMPUTER INTERACTION","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"2194-5357","ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1474-7979","ADVANCES IN INTERNATIONAL MARKETING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1687-8442","ADVANCES IN MATERIALS SCIENCE AND ENGINEERING (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1687-8434","ADVANCES IN MATERIALS SCIENCE AND ENGINEERING (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2515-2459","ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1983-8611","ADVANCES IN SCIENTIFIC & APPLIED ACCOUNTING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1527-7941","ADVANCES IN SKIN & WOUND CARE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2055-0286","ADVANCES IN SOCIAL SCIENCES RESEARCH JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1724-2118","AESTIMUM","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1991-637X","AFRICAN JOURNAL OF AGRICULTURAL RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1684-5315","AFRICAN JOURNAL OF BIOTECHNOLOGY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1993-8233","AFRICAN JOURNAL OF BUSINESS MANAGEMENT","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","C"
"2040-0705","AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT STUDIES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1996-0794","AFRICAN JOURNAL OF FOOD SCIENCE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"2223-814X","AFRICAN JOURNAL OF HOSPITALITY, TOURISM AND LEISURE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1996-0808","AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1996-0824","AFRICAN JOURNAL OF PLANT SCIENCE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0002-0591","AFRO-ÁSIA (UFBA. IMPRESSO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"2318-8499","AGENDA POLÍTICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1516-1498","ÁGORA ( PPGTP/UFRJ)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2237-9010","ÁGORA : REVISTA DE DIVULGAÇÃO CIENTÍFICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0103-3557","ÁGORA: ARQUIVOLOGIA EM DEBATE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"1982-999X","ÁGORA FILOSÓFICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"0104-7507","AGORA (UNC)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1982-6737","ÁGORA (UNISC. ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"2357-9951","AGRARIAN ACADEMY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1984-2538","AGRARIAN (DOURADOS. ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2277-9760","AGRARIAN SOUTH: JOURNAL OF POLITICAL ECONOMY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1807-1570","AGRIANUAL (SÃO PAULO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1520-6297","AGRIBUSINESS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1414-0810","AGRICULTURA FAMILIAR (UFPA)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0168-1923","AGRICULTURAL AND FOREST METEOROLOGY (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1682-1130","AGRICULTURAL ENGINEERING INTERNATIONAL: CIGR JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0002-1466","AGRICULTURAL FINANCE REVIEW","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2077-0472","AGRICULTURE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"0167-8809","AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1166-7699","AGRICULTURES (MONTROUGE) / CAHIERS D'ÉTUDES ET DE RECHERCHES FRANCOPHONES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1316-0354","AGROALIMENTARIA (CARACAS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"0100-4298","AGROANALYSIS (FGV)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2168-3565","AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"0167-4366","AGROFORESTRY SYSTEMS (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1982-8470","AGRO@MBIENTE ON-LINE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1774-0746","AGRONOMY FOR SUSTAINABLE DEVELOPMENT","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1435-0645","AGRONOMY JOURNAL (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"0002-1962","AGRONOMY JOURNAL (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2525-877X","AGROPAMPA: REVISTA DE GESTÃO DO AGRONEGÓCIO","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1808-6845","AGROPECUÁRIA CIENTÍFICA NO SEMI-ÁRIDO","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2525-8990","AGROTEC - REVISTA AGROPECUARIA TECNICA (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2179-9784","ÁGUAS SUBTERRÂNEAS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"0951-5666","AI & SOCIETY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1938-9604","AIB INSIGHTS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1360-0451","AIDS CARE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1873-9318","AIR QUALITY, ATMOSPHERE AND HEALTH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
