Sigla,Nome do evento,Estrato,quadrienio
SOFTENG-IARIA,IARIA International Conference on Advances and Trends in Software Engineering,B4,2017-2020
SoftStart,International Workshop on Software Engineering for Startups,B4,2017-2020
SORT,IEEE Workshop on Self-Organizing Real-Time Systems,B4,2017-2020
SOSE,IEEE International Symposium on Service-Oriented System Engineering,A4,2017-2020
SoSEC,IEEE Annual System of Systems Engineering Conference,A3,2017-2020
SOSP,ACM Symposium on Operating Systems Principles,A1,2017-2020
SOSR,Symposium on Software Defined Networking Research,A2,2017-2020
SOUPS,Symposium On Usable Privacy and Security,A2,2017-2020
SoWeMi,International Workshop on Mining the Social Web,B4,2017-2020
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,A3,2017-2020
SpaCCS,"International Conference on Security, Privacy and Anonymity in Computation, Communication and Storage",B1,2017-2020
SPACE,"International Conference on Security, Privacy, and Applied Cryptography Engineering",B1,2017-2020
SpatialBigData,Spatial Big Data and Machine Learning in GIScience,B4,2017-2020
SpatialGems,ACM SIGSPATIAL International Workshop on Spatial Gems,B4,2017-2020
SPIRE,International Symposium on String Processing and Information Retrieval,B1,2017-2020
SPLASH,"ACM SIGPLAN Conference on Systems, Programming, Languages, and Applications: Software for Humanity",B1,2017-2020
SPLC,International Software Product Line Conference,A3,2017-2020
SPM,"International Conference on Signal, Image Processing and Multimedia",B4,2017-2020
SpringSim,Spring Simulation Conference,B1,2017-2020
SRDS,IEEE Symposium on Reliable Distributed Systems,A3,2017-2020
SSBSE,International Symposium on Search Based Software Engineering,B1,2017-2020
SSCC,International Symposium on Security in Computing and Communications,B2,2017-2020
SSCI,IEEE Symposium Series on Computational Intelligence,A2,2017-2020
SSDBM,International Conference on Scientific and Statistical Database Management,A3,2017-2020
SSIAI,Southwest Symposium on Image Analysis and Interpretation,B2,2017-2020
SSPR,International Workshop on Structural and Syntactic Pattern Recognition,B1,2017-2020
SSRR,"International Symposium on Safety, Security and Rescue Robotics",A3,2017-2020
SSTD,International Symposium on Spatial and Temporal Databases,A4,2017-2020
STACS,Symposium on Theoretical Aspects of Computer Science,A3,2017-2020
STIL,Brazilian Symposium in Information and Human Language Technology,B1,2017-2020
STOC,ACM Symposium on Theory of Computing,A1,2017-2020
SUGARLOAFPLOP,Latin American Conference on Pattern Languages of Programs,B4,2017-2020
SUI,Symposium on Spatial User Interaction,A3,2017-2020
SUM,International Conference on Scalable Uncertainty Management,B2,2017-2020
SustainIT,Conference on Sustainable Internet and ICT for Sustainability,B4,2017-2020
SVR,Symposium on Virtual and Augmented Reality,A4,2017-2020
SWAT,Scandinavian Workshop on Algorithm Theory,B2,2017-2020
SWQD,Conference Software Quality Days,A3,2017-2020
SYSCON,IEEE International Systems Conference,A4,2017-2020
SYSTOL,Conference on Control and Fault-Tolerant Systems,B1,2017-2020
TABLEAUX,International Conference on Automated Reasoning with Analytic Tableaux and Related Methods,B1,2017-2020
TAC,Text Analysis Conference,B1,2017-2020
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,A2,2017-2020
TAPAS,Workshop on Tools for Automatic Program Analysis,B4,2017-2020
TAROS,Conference Towards Autonomous Robotics Systems,A4,2017-2020
TASE,Theoretical Aspects of Software Engineering,B1,2017-2020
TCC,Theory of Cryptography,A1,2017-2020
TechDebt,International Conference on Technical Debt,B1,2017-2020
TEEM,Technological Ecosystems for Enhancing Multiculturality,A2,2017-2020
TEI,"International Conference on Tangible, Embedded and Embodied Interaction",A2,2017-2020
TextGraphs,Workshop on Graph-based Methods for Natural Language Processing,B2,2017-2020
TIMBRE,Interdisciplinary Workshop on Timbre,B4,2017-2020
TISE,Congreso Internacional de Informática Educativa,B4,2017-2020
TPDL,International Conference on Theory and Practice of Digital Libraries,A4,2017-2020
TREC,Text Retrieval Conference,B1,2017-2020
TRUST,International Workshop on Trust in Agent societies,B4,2017-2020
TRUSTCOM,"International Conference on Trust, Security and Privacy in Computing and Communications",A2,2017-2020
TSD,"International Conference on Text, Speech and Dialogue",A4,2017-2020
TVX,ACM International Conference on Interactive Experiences for TV and Online Video,A4,2017-2020
UAI,Conference on Uncertainty in Artificial Intelligence,A1,2017-2020
UBICOMM-IARIA,"IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",B4,2017-2020
UbiComp,ACM International Joint Conference on Pervasive and Ubiquitous Computing,A1,2017-2020
UBIMUS,Workshop de Música Ubíqua,B4,2017-2020
UCAMI,International Conference on Ubiquitous Computing and Ambient Intelligence,B1,2017-2020
UCC,IEEE/ACM International Conference on Utility and Cloud Computing,A3,2017-2020
UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,B1,2017-2020
UIST,ACM User Interface Software Technology Symposium,A1,2017-2020
UKSIM,International Conference on Computer Modelling and Simulation,B2,2017-2020
UMAP,"International Conference on User Modeling, Adaptation and Personalization",A2,2017-2020
UNET,International Symposium on Ubiquitous Networking,B2,2017-2020
UNIF,International Workshop on Unification,B4,2017-2020
UR,International Conference on Ubiquitous Robots and Ambient Intelligence,A4,2017-2020
USENIX Security,USENIX Security Symposium,A1,2017-2020
USIHC,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador,B4,2017-2020
UTP,International Symposium on Unifying Theories of Programming,B4,2017-2020
VALUETOOLS,EAI International Conference on Performance Evaluation Methodologies and Tools,B2,2017-2020
VAMOS,International Workshop on Variability Modelling of Software-intensive Systems,A4,2017-2020
VarDial,"Workshop on NLP for Similar Languages, Varieties and Dialects",A3,2017-2020
VAST,IEEE Conference on Visual Analytics Science and Technology,A3,2017-2020
VCIP,IEEE International Conference on Visual Communications and Image Processing,A3,2017-2020
VECIMS/CIVEMSA,IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems,B2,2017-2020
VECPAR,International Meeting on High Performance Computing for Computational Science,B4,2017-2020
VEE,International Conference on Virtual Execution Environments,B1,2017-2020
VEM,"Workshop on Software Visualization, Evolution and Maintenance",B4,2017-2020
Videojogos,Conference on Videogame Sciences and Arts,B4,2017-2020
VISAPP,International Conference on Computer Vision Theory and Applications,A3,2017-2020
VISIGRAPP,"Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",B2,2017-2020
VISSOFT,IEEE Working Conference on Software Visualization,B1,2017-2020
VLDB,International Conference on Very Large Data Bases,A1,2017-2020
VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,A3,2017-2020
VLSI,International Conference on Very Large Scale Integration,B1,2017-2020
VLSI-DAT,"International Symposium on VLSI Design, Automation and Test",B2,2017-2020
VLSI-SOC,IEEE/IFIP International Conference on VLSI and System-on-Chip,B1,2017-2020
VLSID,International Conference on VLSI Design,A4,2017-2020
VMV,"Vision, Modeling & Visualization",B3,2017-2020
VNC,IEEE Vehicular Networking Conference,A3,2017-2020
VOILA,Visualization and Interaction for Ontologies and Linked Data,B4,2017-2020
VR,IEEE Virtual Reality Conference,A2,2017-2020
VRCAI,International Conference on Virtual Reality Continuum and its Applications,A4,2017-2020
VRST,ACM Symposium on Virtual Reality Software and Technology,A3,2017-2020
VS-Games,International Conference on Virtual Worlds and Games for Serious Applications,A3,2017-2020
VSMM,International Conference on Virtual Systems and MultiMedia,B2,2017-2020
VTC,Vehicular Technology Conference,A1,2017-2020
VTS,IEEE VLSI Test Symposium,B1,2017-2020
W2GIS,International Symposium Web and Wireless Geographical Information Systems,B2,2017-2020
W4A,Conference on Web Accessibility,A4,2017-2020
WABI,Workshop on Algorithms in Bioinformatics,A3,2017-2020
WAC,Web Audio Conference,B2,2017-2020
WACV,Workshop on Applications of Computer Vision,A1,2017-2020
WADS,Algorithms and Data Structures Symposium,B4,2017-2020
WAFR,Workshop on the Algorithmic Foundations of Robotics,A3,2017-2020
WAIHCWS,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,B4,2017-2020
WALCOM,International Workshop on Algorithms and Computation,B1,2017-2020
WAlgProg,"Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação",B4,2017-2020
WAOA,Workshop on Approximation and Online Algorithms,B2,2017-2020
WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",B4,2017-2020
WASPAA,IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,A3,2017-2020
WASSA,"Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",A3,2017-2020
WAVE,Workshop on Advanced Virtual Environments and Education,B4,2017-2020
WBL,Workshop Brasileiro de Lógica,B4,2017-2020
WBMA,Workshop Brasileiro de Métodos Ágeis,B4,2017-2020
WCAMA,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,B4,2017-2020
WCAS,Workshop on Circuits and Systems Design,B4,2017-2020
WCBIE,Workshops do Congresso Brasileiro de Informática na Educação,B3,2017-2020
WCCE,IFIP World Conference on Computers in Education,B3,2017-2020
WCCI,IEEE World Congress on Computational Intelligence,B4,2017-2020
WCGE,Workshop de Computação Aplicada ao Governo Eletrônico,B4,2017-2020
WCGO,World Congress on Global Optimization,B3,2017-2020
WCISC,Workshop on Computational Intelligence and Smart Cities,B4,2017-2020
WCN,Workshop on Cloud Networks,B4,2017-2020
WCNC,IEEE Wireless Communications and Networking Conference,A2,2017-2020
WCNCW,IEEE Wireless Communications and Networking Conference Workshops,B3,2017-2020
WCNPS,Workshop on Communication Networks and Power Systems,B3,2017-2020
WCX,SAE World Congress Experience,B3,2017-2020
WD,Wireless Days Conference,A4,2017-2020
WDES,"Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems",B3,2017-2020
WEB3D,International Conference on 3D Web Technology,A4,2017-2020
Web4All,International Web for All Conference,A3,2017-2020
WEBDB,International Workshop on the Web and Databases,B2,2017-2020
WEBIST,International Conference on Web Information Systems and Technologies,A4,2017-2020
WEBMEDIA,Brazilian Symposium on Multimedia and the Web,A4,2017-2020
WEBSCI,ACM Web Science Conference,A2,2017-2020
WEI,Workshop sobre Educação em Computação,A4,2017-2020
WER,Workshop on Requirements Engineering,B4,2017-2020
WESB,Workshop de Engenharia de Software Baseada em Busca,B4,2017-2020
WETICE,IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises,A3,2017-2020
WF-IoT,IEEE World Forum on Internet of Things,A2,2017-2020
WFCS,IEEE World Conference on Factory Communication Systems,A4,2017-2020
WG,International Workshop on Graph-Theoretic Concepts in Computer Science,A3,2017-2020
WGRS,Workshop de Gerência e Operação de Redes e Serviços,B4,2017-2020
WHISPERS,Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,B2,2017-2020
WI-IAT,IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,A3,2017-2020
WICSA,Working IEEE/IFIP Conference on Software Architecture,B1,2017-2020
WIE,Workshop de Informática na Escola,A4,2017-2020
WIFS,IEEE Workshop on Information Forensics and Security,A3,2017-2020
WIM,Workshop de Informática Médica,B4,2017-2020
WIMOB,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",A4,2017-2020
WiOpt,"International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks",A3,2017-2020
WiPSCE,Workshop in Primary and Secondary Computing Education,A3,2017-2020
WISDOM,Workshop on Issues of Sentiment Discovery and Opinion Mining,B4,2017-2020
WISE,International Conference on Web Information Systems Engineering,A4,2017-2020
WiSec,ACM Conference on Security & Privacy in Wireless and Mobile Networks,A3,2017-2020
WISTP,International Conference on Information Security Theory and Practice,B2,2017-2020
WIT,Women in Information Technology,B3,2017-2020
WOCN,International Conference on Wireless and Optical Communications Networks,B2,2017-2020
WOLLIC,"International Workshop on Logic, Language, Information and Computation",A4,2017-2020
WOMoCoE,"International Workshop on Ontology Modularity, Contextuality, and Evolution",B4,2017-2020
WONS,Wireless On-demand Network systems and Services Conference,A4,2017-2020
WORKS,Workshop on Workflows in Support of Large-Scale Science,B3,2017-2020
WOSP,International Workshop on Mining Scientific Publications,B4,2017-2020
WOWMOM,"International Symposium on a World of Wireless, Mobile and Multimedia Networks",A2,2017-2020
WPEIF,Workshop de Pesquisa Experimental da Internet do Futuro,B4,2017-2020
WPerformance,Workshop em Desempenho de Sistemas Computacionais e de Comunicação,B4,2017-2020
WPES,Annual ACM workshop on Privacy in the electronic society,B4,2017-2020
WRLA,International Workshop on Rewriting Logic and its Applications,B3,2017-2020
WSC,Winter Simulation Conference,A2,2017-2020
WSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho,B4,2017-2020
WSCDC,Workshop de Segurança Cibernética em Dispositivos Conectados,B4,2017-2020
WSCG,International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision,B4,2017-2020
WSDM,ACM Conference International Conference on Web Search and Data Mining,A1,2017-2020
WSL,Workshop de Software Livre,B4,2017-2020
WSOM,"International Workshop on Self-Organizing Maps and Learning Vector Quantization, Clustering and Data Visualization",B3,2017-2020
WTF,Workshop de Testes e Tolerância a Falhas,B4,2017-2020
WTranS,Workshop de Transparência de Sistema,B4,2017-2020
WVC,Workshop de Visão Computacional,B4,2017-2020
WWW,International World Wide Web Conferences,A1,2017-2020
XP,International Conference on Agile Software Development,A3,2017-2020
