Sigla,Nome do evento,Estrato,quadrienio
DAFX,International Conference on Digital Audio Effects,B2,2017-2020
DAMON,International Workshop on Data Management on New Hardware,B2,2017-2020
DARS,International Symposium on Distributed Autonomous Robotic Systems,B4,2017-2020
DASC,"IEEE International Conference on Dependable, Autonomic & Secure Computing",B4,2017-2020
DASFAA,International Conference on Database Systems for Advanced Applications,A3,2017-2020
DASIP,Conference on Design and Architectures for Signal and Image Processing,B3,2017-2020
DATA,"International Conference on Data Science, Technology and Applications",B4,2017-2020
DATAANALYTICS-IARIA,IARIA International Conference on Data Analytics,B4,2017-2020
DATE,"Design, Automation and Test in Europe Conference and Exhibition",A1,2017-2020
DAWAK,International Conference on Big Data Analytics and Knowledge Discovery,B2,2017-2020
DBKD-AIARIA,"IARIA International Conference on Advances in Databases, Knowledge, and Data Applications",B4,2017-2020
DBSec,IFIP WG 11.3 Conference on Data and Applications Security and Privacy,B1,2017-2020
DCAI,International Symposium on Distributed Computing and Artificial Intelligence,B1,2017-2020
DCASE,Workshop on Detection and Classification of Acoustic Scenes and Events,A4,2017-2020
DCC,Data Compression Conference,A3,2017-2020
DCOSS,International Conference on Distributed Computing in Sensor Systems,A4,2017-2020
DDECS,IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems,B1,2017-2020
DEBS,International Conference on Distributed and Event-Based Systems,A3,2017-2020
DEPCOS,International Conference on Dependability and Complex Systems,B2,2017-2020
DESAFIE,Workshop de Desafios da Computação Aplicada à Educação,B4,2017-2020
DEXA,International Conference on Database and Expert Systems Applications,A4,2017-2020
DFT,IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,B1,2017-2020
DGCI,Discrete Geometry for Computer Imagery,B3,2017-2020
DGO,Annual International Conference on Digital Government Research,A3,2017-2020
DH,Digital Heritage,B4,2017-2020
DIGRA,Digital Games Research Association International Conference,A3,2017-2020
DILS,International Conference on Data Integration in Life Sciences,B3,2017-2020
DIMVA,"International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",A3,2017-2020
DIS,Conference on Designing Interactive Systems,A1,2017-2020
DISC,International Symposium on Distributed Computing,A3,2017-2020
DIVANET,ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications,B3,2017-2020
DL,International Workshop on Description Logics,A4,2017-2020
DLS,Dynamic Languages Symposium,B3,2017-2020
DMA,International Conference on Data Mining and Applications,B1,2017-2020
DMSVIVA,International DMS Conference on Visualization and Visual Languages,B4,2017-2020
DOCENG,ACM Symposium on Document Engineering,A4,2017-2020
DOLAP,International Workshop On Data Warehousing and OLAP,B4,2017-2020
DPM,International Workshop on Data Privacy Management,B4,2017-2020
DRCN,International Conference on the Design of Reliable Communication Networks,B1,2017-2020
DS,International Conference on Discovery Science,B1,2017-2020
DS-RT,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications,B2,2017-2020
DSAA,IEEE International Conference on Data Science and Advanced Analytics,A3,2017-2020
DSAI,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion,B2,2017-2020
DSC,IEEE Conference on Dependable and Secure Computing,B1,2017-2020
DSD,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools",A3,2017-2020
DSN,Annual IEEE/IFIP International Conference on Dependable Systems and Networks,A1,2017-2020
DSNW,IEEE International Conference on Dependable Systems and Networks Workshops,B3,2017-2020
DSP,International Conference on Digital Signal Processing,A4,2017-2020
DTIS,Design & Technology of Integrated Systems in Nanoscale Era,B2,2017-2020
DySPAN,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,A4,2017-2020
EACL,Conference of the European Chapter of the Association for Computational Linguistics,A1,2017-2020
EASE,International Conference on Evaluation and Assessment in Software Engineering,A3,2017-2020
EATIS,Euro American Conference on Telematics and Information Systems,B3,2017-2020
EC,ACM conference on Economics and Computation,A1,2017-2020
EC-TEL,European Conference on Technology Enhanced Learning,A3,2017-2020
ECAI,European Conference on Artificial Intelligence,A3,2017-2020
ECASE,IEEE/ACM International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering,B4,2017-2020
ECC,European Control Conference,A3,2017-2020
ECCTD,European Conference on Circuit Theory and Design,B2,2017-2020
ECCV,European Conference on Computer Vision,A1,2017-2020
ECIR,European Conference on Information Retrieval,A2,2017-2020
ECIS,European Conference on Information Systems,A2,2017-2020
ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,A2,2017-2020
ECMR,European Conference on Mobile Robots,A3,2017-2020
ECMS,European Conference on Modelling and Simulation,B1,2017-2020
ECOOP,European Conference on Object-Oriented Programming,A3,2017-2020
ECRTS,Euromicro Conference on Real-Time Systems,A3,2017-2020
ECSA,European Conference on Software Architecture,A4,2017-2020
ECSCW,European Conference on Computer Supported Cooperative Work,B3,2017-2020
